reg,cl_age90,jour,hosp,rea,rad,dc
75,29,05/05/2020,5,2,58,1
75,39,05/05/2020,5,2,97,2
75,49,05/05/2020,11,3,141,2
75,59,05/05/2020,44,19,272,11
75,69,05/05/2020,92,31,311,29
75,79,05/05/2020,127,36,251,76
75,89,05/05/2020,174,8,250,132
75,90,05/05/2020,103,1,119,83
76,0,05/05/2020,536,118,2215,436
76,9,05/05/2020,1,0,18,0
76,19,05/05/2020,1,0,16,0
76,29,05/05/2020,3,0,85,1
76,39,05/05/2020,5,2,140,1
76,49,05/05/2020,13,5,243,2
76,59,05/05/2020,52,13,367,15
76,69,05/05/2020,79,41,408,49
76,79,05/05/2020,129,46,443,85
76,89,05/05/2020,162,11,333,177
76,90,05/05/2020,91,0,161,106
84,0,05/05/2020,2399,314,5326,1419
84,9,05/05/2020,1,0,37,0
84,19,05/05/2020,9,5,39,0
84,29,05/05/2020,19,2,193,0
84,39,05/05/2020,32,1,305,4
84,49,05/05/2020,58,10,459,10
84,59,05/05/2020,164,35,803,39
84,69,05/05/2020,326,106,944,99
84,79,05/05/2020,582,124,1017,286
84,89,05/05/2020,752,24,1008,599
84,90,05/05/2020,441,2,446,362
93,0,05/05/2020,1385,210,4061,746
93,9,05/05/2020,1,0,24,0
93,19,05/05/2020,3,0,43,0
93,29,05/05/2020,17,3,269,1
93,39,05/05/2020,19,4,354,1
93,49,05/05/2020,44,13,468,4
93,59,05/05/2020,95,27,728,28
93,69,05/05/2020,190,54,745,57
93,79,05/05/2020,337,72,623,159
93,89,05/05/2020,432,29,513,315
93,90,05/05/2020,243,7,273,178
94,0,05/05/2020,56,6,194,51
94,9,05/05/2020,0,0,6,0
94,19,05/05/2020,0,0,1,0
94,29,05/05/2020,0,0,14,0
94,39,05/05/2020,0,0,16,0
94,49,05/05/2020,1,0,22,1
94,59,05/05/2020,5,1,31,1
94,69,05/05/2020,9,3,30,2
94,79,05/05/2020,19,2,32,13
94,89,05/05/2020,13,0,30,24
94,90,05/05/2020,9,0,12,10
1,0,06/05/2020,16,5,71,18
1,9,06/05/2020,0,0,0,0
1,19,06/05/2020,0,0,2,0
1,29,06/05/2020,0,0,1,0
1,39,06/05/2020,1,0,3,0
1,49,06/05/2020,0,0,5,0
1,59,06/05/2020,1,0,18,3
1,69,06/05/2020,5,2,17,3
1,79,06/05/2020,4,2,12,7
1,89,06/05/2020,5,1,12,4
1,90,06/05/2020,0,0,0,1
2,0,06/05/2020,19,7,78,14
2,9,06/05/2020,0,0,0,0
2,19,06/05/2020,0,0,0,0
2,29,06/05/2020,0,0,3,0
2,39,06/05/2020,0,0,4,0
2,49,06/05/2020,1,1,12,0
2,59,06/05/2020,9,5,17,1
2,69,06/05/2020,4,1,19,2
2,79,06/05/2020,4,0,16,4
2,89,06/05/2020,1,0,6,5
2,90,06/05/2020,0,0,1,2
3,0,06/05/2020,5,0,36,1
3,9,06/05/2020,0,0,0,0
3,19,06/05/2020,1,0,2,0
3,29,06/05/2020,0,0,4,0
3,39,06/05/2020,0,0,7,0
3,49,06/05/2020,4,0,10,0
3,59,06/05/2020,0,0,2,0
3,69,06/05/2020,0,0,4,0
3,79,06/05/2020,0,0,3,1
3,89,06/05/2020,0,0,2,0
3,90,06/05/2020,0,0,0,0
4,0,06/05/2020,6,2,111,0
4,9,06/05/2020,0,0,1,0
4,19,06/05/2020,0,0,4,0
4,29,06/05/2020,0,0,18,0
4,39,06/05/2020,0,0,13,0
4,49,06/05/2020,1,0,11,0
4,59,06/05/2020,1,0,19,0
4,69,06/05/2020,2,2,22,0
4,79,06/05/2020,1,0,16,0
4,89,06/05/2020,1,0,7,0
4,90,06/05/2020,0,0,0,0
6,0,06/05/2020,45,7,111,12
6,9,06/05/2020,1,1,2,0
6,19,06/05/2020,2,0,4,0
6,29,06/05/2020,6,0,18,0
6,39,06/05/2020,2,0,15,0
6,49,06/05/2020,5,1,24,3
6,59,06/05/2020,11,1,19,3
6,69,06/05/2020,9,3,19,2
6,79,06/05/2020,5,0,4,2
6,89,06/05/2020,3,0,6,2
6,90,06/05/2020,0,0,0,0
11,0,06/05/2020,9930,1328,19392,6347
11,9,06/05/2020,45,13,215,2
11,19,06/05/2020,31,11,123,3
11,29,06/05/2020,119,22,652,11
11,39,06/05/2020,291,56,1527,39
11,49,06/05/2020,542,132,2421,115
11,59,06/05/2020,1194,348,3616,431
11,69,06/05/2020,1685,385,3852,914
11,79,06/05/2020,2086,298,3179,1486
11,89,06/05/2020,2379,39,2558,2053
11,90,06/05/2020,1475,13,1049,1240
24,0,06/05/2020,919,92,1361,429
24,9,06/05/2020,0,0,25,0
24,19,06/05/2020,0,0,15,0
24,29,06/05/2020,5,2,36,1
24,39,06/05/2020,11,3,70,2
24,49,06/05/2020,15,4,140,3
24,59,06/05/2020,51,12,189,11
24,69,06/05/2020,149,29,237,31
24,79,06/05/2020,188,37,261,71
24,89,06/05/2020,289,5,269,173
24,90,06/05/2020,204,0,113,135
27,0,06/05/2020,1111,114,2618,896
27,9,06/05/2020,1,0,17,0
27,19,06/05/2020,3,0,21,0
27,29,06/05/2020,2,0,78,0
27,39,06/05/2020,7,0,139,2
27,49,06/05/2020,18,3,239,5
27,59,06/05/2020,75,17,353,18
27,69,06/05/2020,157,34,454,76
27,79,06/05/2020,260,47,527,185
27,89,06/05/2020,374,13,577,406
27,90,06/05/2020,213,0,209,202
28,0,06/05/2020,562,67,1155,365
28,9,06/05/2020,0,0,3,0
28,19,06/05/2020,1,0,5,0
28,29,06/05/2020,2,0,42,0
28,39,06/05/2020,7,1,85,1
28,49,06/05/2020,12,4,127,10
28,59,06/05/2020,43,14,197,14
28,69,06/05/2020,91,20,230,53
28,79,06/05/2020,125,19,220,80
28,89,06/05/2020,171,9,183,142
28,90,06/05/2020,110,0,57,65
32,0,06/05/2020,2096,264,4452,1480
32,9,06/05/2020,1,1,44,0
32,19,06/05/2020,4,0,25,0
32,29,06/05/2020,10,2,183,1
32,39,06/05/2020,32,5,347,3
32,49,06/05/2020,66,21,536,10
32,59,06/05/2020,180,47,767,56
32,69,06/05/2020,330,98,782,198
